🐼看电视呗👉打卡,#genre#

以色列十路监控 实时监控,https://play-flive.ifeng.com/flive/FLIVE_TX_NR_0DP5V3B5L34.m3u8
中东九路监控+凤凰卫视直播,https://play-flive.ifeng.com/flive/FLIVE_TX_R_0DOZL53IL1C_normflive.m3u8
凤凰资讯,http://mywlkj.ddns.net:754/tv/gdsz.php?id=4
凤凰中文,http://mywlkj.ddns.net:754/tv/gdsz.php?id=5
凤凰香港,http://mywlkj.ddns.net:754/tv/gdsz.php?id=6

台視新聞台,http://mywlkj.ddns.net:754/tv/ttvnews.m3u8
CCTV13,rtmp://live-play.cctvnews.cctv.com/cctv/merge_cctv13
CCTV6,http://mywlkj.ddns.net:754/tv/cctv6.m3u8
CCTV2,http://mywlkj.ddns.net:754/tv/cctv2.m3u8


重温经典,http://43.141.130.51/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典,http://43.141.130.33/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
浦东电视,http://mywlkj.ddns.net:754/tv/pdtv.m3u8

1905-CCTV6,http://mywlkj.ddns.net:754/tv/1905.php?id=cctv6
1905-国外,http://mywlkj.ddns.net:754/tv/1905.php?id=1905a
1905-国内,http://mywlkj.ddns.net:754/tv/1905.php?id=1905b

1989年香港小姐,http://mywlkj.ddns.net:754/tv/1989hkxj.m3u8
央视台球,http://mywlkj.ddns.net:754/tv/cctvystq.m3u8
CCTV-4K,http://mywlkj.ddns.net:754/tv/cctv4k.m3u8
CCTV-8K,http://mywlkj.ddns.net:754/tv/cctv8k.m3u8

CHC动作电影,http://mywlkj.ddns.net:754/tv/gdsz.php?id=13

CCTV4K,http://mywlkj.ddns.net:754/tv/gdsz.php?id=37
CCTV4K,http://mywlkj.ddns.net:754/tv/gdsz.php?id=38

郑铁频道,http://mywlkj.ddns.net:754/tv/zrtv.m3u8
人民铁道,http://mywlkj.ddns.net:754/tv/rmtd.m3u8
CCTV1,http://mywlkj.ddns.net:754/tv/cctv1.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
安徽卫视,http://live.ahsx.ahtv.cn/live/ahtv.m3u8?txSecret=a069b18fac6cd605568d3733d24e5613&txTime=6955487F
重庆卫视,https://sjlivecdn9.cbg.cn/202906282314/app_2/_definst_/ls_2.stream/chunklist.m3u8
北京卫视,http://live.sjsrm.com/bjsjs/sd/live.m3u8
厦门卫视,https://xiamenalic.v.myalicdn.com/xiamen/xiamen_1/index.m3u8
广西卫视,http://live.gxrb.com.cn/tv/gxtvlive03/index.m3u8
山东卫视,http://livealone.iqilu.com/iqilu/sdtvhjOF03kn.m3u8
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=3944fff7fdd8f8caf6adce2c9a0ef126
黄河卫视,http://liveflash.sxrtv.com/live/huanghe.m3u8?sub_m3u8=true&edge_slice=true
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
甘肃卫视,https://hls.gstv.com.cn/49048r/6e1sy2.m3u8
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880

🔥港澳台区👉最新,#genre#

凤凰中文,http://mywlkj.ddns.net:754/tv/fhzw.m3u8
凤凰资讯,http://mywlkj.ddns.net:754/tv/fhzx.m3u8
凤凰香港,http://mywlkj.ddns.net:754/tv/fhhk.m3u8
TVB财经体育资讯台,http://mywlkj.ddns.net:754/tv/hk.php?id=7#http://mywlkj.ddns.net:754/tv/hk.php?id=34
TVB无线新闻台,http://mywlkj.ddns.net:754/tv/hk.php?id=33
中天新闻台,http://mywlkj.ddns.net:754/tv/hk.php?id=43#http://mywlkj.ddns.net:754/tv/hk.php?id=44#http://mywlkj.ddns.net:754/tv/hk.php?id=45
TVBS,http://mywlkj.ddns.net:754/tv/hk.php?id=46
CGN,http://mywlkj.ddns.net:754/tv/hk.php?id=36
AMC电影台,http://mywlkj.ddns.net:754/tv/hk.php?id=35
HBO-2,http://mywlkj.ddns.net:754/tv/hk.php?id=37
NKK World,http://mywlkj.ddns.net:754/tv/hk.php?id=38
CBS NEWS,http://mywlkj.ddns.net:754/tv/hk.php?id=39
TSN-3,http://mywlkj.ddns.net:754/tv/hk.php?id=40
WSFA,http://mywlkj.ddns.net:754/tv/hk.php?id=41
TSN,http://mywlkj.ddns.net:754/tv/hk.php?id=42

GOODTV好消息,http://mywlkj.ddns.net:754/tv/goodtv.php?id=1
GOODTV道在人間,http://mywlkj.ddns.net:754/tv/goodtv.php?id=2
GOODTV卡通,http://mywlkj.ddns.net:754/tv/goodtv.php?id=4

星光视界,http://mywlkj.ddns.net:754/tv/yximgs.php?id=69
金马影院,http://mywlkj.ddns.net:754/tv/yximgs.php?id=65
功夫,http://mywlkj.ddns.net:754/tv/yximgs.php?id=68

CCTV-4HD,http://mywlkj.ddns.net:754/tv/tw.php?id=1
凤凰资讯HD,http://mywlkj.ddns.net:754/tv/tw.php?id=2
