香港 Hongkong,#genre#
凤凰香港,https://phdown.serv00.net/Smartv.php?id=hkphoenix_twn
无线财经,https://phdown.serv00.net/Smartv.php?id=tvbcaijing_twn
凤凰卫视,https://phdown.serv00.net/Smartv.php?id=phoenixtv_hd
凤凰资讯,https://phdown.serv00.net/Smartv.php?id=phoenixinfo_hd
RHK31,https://phdown.serv00.net/Smartv.php?id=rhk31_twn
RHK32,https://phdown.serv00.net/Smartv.php?id=rhk32_twn
TVB Jade,https://phdown.serv00.net/Smartv.php?id=Tvbjade
TVB Asia,https://phdown.serv00.net/Smartv.php?id=Tvbasia
TVB Entertainment,https://phdown.serv00.net/Smartv.php?id=Tvbentertainment
TVB Classic,https://phdown.serv00.net/Smartv.php?id=Tvbclassic
J2,https://phdown.serv00.net/Smartv.php?id=j2_twn
TVB星河,https://phdown.serv00.net/Smartv.php?id=Xinhe
TVB珍珠,https://phdown.serv00.net/Smartv.php?id=pearl_twn
TVB翡翠,https://phdown.serv00.net/Smartv.php?id=jade_mike Indian
VIUTV1,https://phdown.serv00.net/Smartv.php?id=viu1_twn
VIUTV6,https://phdown.serv00.net/Smartv.php?id=viusix_twn
Viu TV69,https://phdown.serv00.net/Smartv.php?id=viutv69_hkdavid
TVB Magic,https://phdown.serv00.net/Smartv.php?id=Tvbmagic
中國 China,#genre#
CCTV-1综合,https://phdown.serv00.net/Smartv.php?id=cctv1
CCTV-2财经,https://phdown.serv00.net/Smartv.php?id=cctv2
CCTV-3综艺,https://phdown.serv00.net/Smartv.php?id=cctv3
CCTV-4中文国际,https://phdown.serv00.net/Smartv.php?id=cctv4
CCTV4,https://phdown.serv00.net/Smartv.php?id=Cctv4
CCTV-5 体育频道,https://phdown.serv00.net/Smartv.php?id=cctv5
CCTV-5+ 体育赛事,https://phdown.serv00.net/Smartv.php?id=cctv5plus
CCTV-7军事农业,https://phdown.serv00.net/Smartv.php?id=cctv7
CCTV-8电视剧,https://phdown.serv00.net/Smartv.php?id=cctv8hd
CCTV-9记录,https://phdown.serv00.net/Smartv.php?id=cctv9hd
CCTV-10科教,https://phdown.serv00.net/Smartv.php?id=cctv10hd
CCTV-11戏曲,https://phdown.serv00.net/Smartv.php?id=cctv11
